DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches
ARR,2024-10-07,310,31074,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31078,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31081,0,1,AML,MRB,2,Lint,2.0
ARR,2024-10-07,310,31082,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31086,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31090,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,311,31107,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31109,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31110,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31111,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31112,0,1,AH,TL,2,GTW,3.0
ARR,2024-10-07,311,31113,0,1,TL,AH,2,GTW,3.0
ARR,2024-10-07,311,31114,0,1,AH,TL,2,GTW,3.0
ARR,2024-10-07,311,31115,0,1,TL,AH,2,GTW,3.0
ARR,2024-10-07,311,31116,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31117,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31118,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31119,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31120,0,1,AH,TL,2,GTW,3.0
ARR,2024-10-07,311,31121,0,1,TL,AH,2,GTW,3.0
ARR,2024-10-07,311,31122,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31123,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31124,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31125,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31126,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31127,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31128,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31129,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31130,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31131,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31132,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31133,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31134,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31135,0,1,TL,AH,2,GTW,2.0
ARR,2024-10-07,311,31136,0,1,AH,TL,2,GTW,2.0
ARR,2024-10-07,311,31137,0,1,TL,AH,2,GTW,2.0
